kind,implementation,memory,size,offset,cycles,iterations
scan,word_unaligned,sram,64,3,378888,512
scan,mve,sram,64,3,262152,512
scan,byte,sram,64,15,1343496,512
scan,word,sram,64,15,417800,512
scan,word_unaligned,sram,64,15,378888,512
scan,mve,sram,64,15,262152,512
scan,byte,sram,96,0,1998856,512
scan,word,sram,96,0,530440,512
scan,word_unaligned,sram,96,0,526344,512
scan,mve,sram,96,0,266248,512
scan,byte,sram,96,1,1998856,512
scan,word,sram,96,1,581640,512
scan,word_unaligned,sram,96,1,550920,512
scan,mve,sram,96,1,376840,512
scan,byte,sram,96,3,1998856,512
scan,word,sram,96,3,581640,512
scan,word_unaligned,sram,96,3,550920,512
scan,mve,sram,96,3,376840,512
scan,byte,sram,96,15,1998856,512
scan,word,sram,96,15,581640,512
scan,word_unaligned,sram,96,15,550920,512
scan,mve,sram,96,15,376840,512
scan,byte,sram,128,0,2654216,512
scan,word,sram,128,0,694280,512
scan,word_unaligned,sram,128,0,690184,512
scan,mve,sram,128,0,344072,512
scan,byte,sram,128,1,2654216,512
scan,word,sram,128,1,745480,512
scan,word_unaligned,sram,128,1,722952,512
scan,mve,sram,128,1,491528,512
scan,byte,sram,128,3,2654216,512
scan,word,sram,128,3,745480,512
scan,word_unaligned,sram,128,3,722952,512
scan,mve,sram,128,3,491528,512
scan,byte,sram,128,15,2654216,512
scan,word,sram,128,15,745480,512
scan,word_unaligned,sram,128,15,722952,512
scan,mve,sram,128,15,491528,512
scan,byte,sram,256,0,5275656,512
scan,word,sram,256,0,1349640,512
scan,word_unaligned,sram,256,0,1345544,512
scan,mve,sram,256,0,655368,512
scan,byte,sram,256,1,5275656,512
scan,word,sram,256,1,1400840,512
scan,word_unaligned,sram,256,1,1411080,512
scan,mve,sram,256,1,950280,512
scan,byte,sram,256,3,5275656,512
scan,word,sram,256,3,1400840,512
scan,word_unaligned,sram,256,3,1411080,512
scan,mve,sram,256,3,950280,512
scan,byte,sram,256,15,5275656,512
scan,word,sram,256,15,1400842,512
scan,word_unaligned,sram,256,15,1411082,512
scan,mve,sram,256,15,950280,512
scan,byte,sram,512,0,10518536,512
scan,word,sram,512,0,2660360,512
scan,word_unaligned,sram,512,0,2656264,512
scan,mve,sram,512,0,1277960,512
scan,byte,sram,512,1,10518536,512
scan,word,sram,512,1,2711560,512
scan,word_unaligned,sram,512,1,2787336,512
scan,mve,sram,512,1,1867784,512
scan,byte,sram,512,3,10518536,512
scan,word,sram,512,3,2711560,512
scan,word_unaligned,sram,512,3,2787336,512
scan,mve,sram,512,3,1867784,512
scan,byte,sram,512,15,10518536,512
scan,word,sram,512,15,2711560,512
scan,word_unaligned,sram,512,15,2787336,512
scan,mve,sram,512,15,1867784,512
range,current,dtcm,8,0,129032,512
range,byte,dtcm,8,0,49160,512
range,word,dtcm,8,0,67592,512
range,word_unaligned,dtcm,8,0,49160,512
range,mve,dtcm,8,0,23048,512
range,current,dtcm,8,1,129032,512
range,byte,dtcm,8,1,49160,512
range,word,dtcm,8,1,69640,512
range,word_unaligned,dtcm,8,1,49160,512
range,mve,dtcm,8,1,23048,512
range,current,dtcm,8,3,129032,512
range,byte,dtcm,8,3,49160,512
range,word,dtcm,8,3,69640,512
range,word_unaligned,dtcm,8,3,49160,512
range,mve,dtcm,8,3,23048,512
range,current,dtcm,8,15,129032,512
range,byte,dtcm,8,15,49160,512
range,word,dtcm,8,15,73736,512
range,word_unaligned,dtcm,8,15,49160,512
range,mve,dtcm,8,15,23560,512
range,current,dtcm,16,0,129032,512
range,byte,dtcm,16,0,49160,512
range,word,dtcm,16,0,69640,512
range,word_unaligned,dtcm,16,0,49160,512
range,mve,dtcm,16,0,23048,512
range,current,dtcm,16,1,131080,512
range,byte,dtcm,16,1,49160,512
range,word,dtcm,16,1,73736,512
range,word_unaligned,dtcm,16,1,51208,512
range,mve,dtcm,16,1,23048,512
range,current,dtcm,16,3,131080,512
range,byte,dtcm,16,3,49160,512
range,word,dtcm,16,3,73736,512
range,word_unaligned,dtcm,16,3,51208,512
range,mve,dtcm,16,3,23048,512
range,current,dtcm,16,15,131080,512
range,byte,dtcm,16,15,49160,512
range,word,dtcm,16,15,79880,512
range,word_unaligned,dtcm,16,15,51208,512
range,mve,dtcm,16,15,23560,512
range,current,dtcm,24,0,131080,512
range,byte,dtcm,24,0,49160,512
range,word,dtcm,24,0,73736,512
range,word_unaligned,dtcm,24,0,51208,512
range,mve,dtcm,24,0,23048,512
range,current,dtcm,24,1,139272,512
range,byte,dtcm,24,1,53256,512
range,word,dtcm,24,1,67592,512
range,word_unaligned,dtcm,24,1,49160,512
range,mve,dtcm,24,1,23048,512
range,current,dtcm,24,3,139272,512
range,byte,dtcm,24,3,53256,512
range,word,dtcm,24,3,67592,512
range,word_unaligned,dtcm,24,3,49160,512
range,mve,dtcm,24,3,23048,512
range,current,dtcm,24,15,139272,512
range,byte,dtcm,24,15,53256,512
range,word,dtcm,24,15,75784,512
range,word_unaligned,dtcm,24,15,49160,512
range,mve,dtcm,24,15,23560,512
range,current,dtcm,32,0,139272,512
range,byte,dtcm,32,0,53256,512
range,word,dtcm,32,0,67592,512
range,word_unaligned,dtcm,32,0,49160,512
range,mve,dtcm,32,0,23048,512
range,current,dtcm,32,1,145416,512
range,byte,dtcm,32,1,57352,512
range,word,dtcm,32,1,67592,512
range,word_unaligned,dtcm,32,1,49160,512
range,mve,dtcm,32,1,23048,512
range,current,dtcm,32,3,145416,512
range,byte,dtcm,32,3,57352,512
range,word,dtcm,32,3,67592,512
range,word_unaligned,dtcm,32,3,49160,512
range,mve,dtcm,32,3,23048,512
range,current,dtcm,32,15,145416,512
range,byte,dtcm,32,15,57352,512
range,word,dtcm,32,15,79880,512
range,word_unaligned,dtcm,32,15,49160,512
range,mve,dtcm,32,15,23560,512
range,current,dtcm,48,0,153608,512
range,byte,dtcm,48,0,61448,512
range,word,dtcm,48,0,69640,512
range,word_unaligned,dtcm,48,0,49160,512
range,mve,dtcm,48,0,23048,512
range,current,dtcm,48,1,161800,512
range,byte,dtcm,48,1,67592,512
range,word,dtcm,48,1,73736,512
range,word_unaligned,dtcm,48,1,49160,512
range,mve,dtcm,48,1,23048,512
range,current,dtcm,48,3,161800,512
range,byte,dtcm,48,3,67592,512
range,word,dtcm,48,3,73736,512
range,word_unaligned,dtcm,48,3,49160,512
range,mve,dtcm,48,3,23048,512
range,current,dtcm,48,15,161800,512
range,byte,dtcm,48,15,67592,512
range,word,dtcm,48,15,75784,512
range,word_unaligned,dtcm,48,15,51208,512
range,mve,dtcm,48,15,23560,512
range,current,dtcm,64,0,169992,512
range,byte,dtcm,64,0,71688,512
range,word,dtcm,64,0,71688,512
range,word_unaligned,dtcm,64,0,49160,512
range,mve,dtcm,64,0,23048,512
range,current,dtcm,64,1,176136,512
range,byte,dtcm,64,1,75784,512
range,word,dtcm,64,1,69640,512
range,word_unaligned,dtcm,64,1,49160,512
range,mve,dtcm,64,1,23048,512
range,current,dtcm,64,3,176136,512
range,byte,dtcm,64,3,75784,512
range,word,dtcm,64,3,69640,512
range,word_unaligned,dtcm,64,3,49160,512
range,mve,dtcm,64,3,23048,512
range,current,dtcm,64,15,176136,512
range,byte,dtcm,64,15,75784,512
range,word,dtcm,64,15,77832,512
range,word_unaligned,dtcm,64,15,49160,512
range,mve,dtcm,64,15,23560,512
range,current,dtcm,96,0,200712,512
range,byte,dtcm,96,0,90120,512
range,word,dtcm,96,0,75784,512
range,word_unaligned,dtcm,96,0,51208,512
range,mve,dtcm,96,0,23048,512
range,current,dtcm,96,1,206856,512
range,byte,dtcm,96,1,94216,512
range,word,dtcm,96,1,73736,512
range,word_unaligned,dtcm,96,1,49160,512
range,mve,dtcm,96,1,23048,512
range,current,dtcm,96,3,206856,512
range,byte,dtcm,96,3,94216,512
range,word,dtcm,96,3,73736,512
range,word_unaligned,dtcm,96,3,49160,512
range,mve,dtcm,96,3,23048,512
range,current,dtcm,96,15,206856,512
range,byte,dtcm,96,15,94216,512
range,word,dtcm,96,15,81928,512
range,word_unaligned,dtcm,96,15,53256,512
range,mve,dtcm,96,15,23560,512
range,current,dtcm,128,0,231432,512
range,byte,dtcm,128,0,108552,512
range,word,dtcm,128,0,79880,512
range,word_unaligned,dtcm,128,0,55304,512
range,mve,dtcm,128,0,23048,512
range,current,dtcm,128,1,237576,512
range,byte,dtcm,128,1,112648,512
range,word,dtcm,128,1,77832,512
range,word_unaligned,dtcm,128,1,53256,512
range,mve,dtcm,128,1,30728,512
range,current,dtcm,128,3,237576,512
range,byte,dtcm,128,3,112648,512
range,word,dtcm,128,3,77832,512
range,word_unaligned,dtcm,128,3,53256,512
range,mve,dtcm,128,3,30728,512
range,current,dtcm,128,15,237576,512
range,byte,dtcm,128,15,112648,512
range,word,dtcm,128,15,86024,512
range,word_unaligned,dtcm,128,15,57352,512
range,mve,dtcm,128,15,31752,512
range,current,dtcm,192,0,292872,512
range,byte,dtcm,192,0,145416,512
range,word,dtcm,192,0,88072,512
range,word_unaligned,dtcm,192,0,63496,512
range,mve,dtcm,192,0,30728,512
range,current,dtcm,192,1,299016,512
range,byte,dtcm,192,1,149512,512
